STA_ID,IP_Address,MAC_Address
0,10.1.1.1,00:00:00:00:00:01
1,10.1.1.2,00:00:00:00:00:02
2,10.1.1.3,00:00:00:00:00:03
3,10.1.1.4,00:00:00:00:00:04
4,10.1.1.5,00:00:00:00:00:05
5,10.1.1.6,00:00:00:00:00:06
6,10.1.1.7,00:00:00:00:00:07
7,10.1.1.8,00:00:00:00:00:08
8,10.1.1.9,00:00:00:00:00:09
9,10.1.1.10,00:00:00:00:00:0a
10,10.1.1.11,00:00:00:00:00:0b
11,10.1.1.12,00:00:00:00:00:0c
12,10.1.1.13,00:00:00:00:00:0d
13,10.1.1.14,00:00:00:00:00:0e
14,10.1.1.15,00:00:00:00:00:0f
15,10.1.1.16,00:00:00:00:00:10
16,10.1.1.17,00:00:00:00:00:11
17,10.1.1.18,00:00:00:00:00:12
18,10.1.1.19,00:00:00:00:00:13
19,10.1.1.20,00:00:00:00:00:14
20,10.1.1.21,00:00:00:00:00:15
21,10.1.1.22,00:00:00:00:00:16
22,10.1.1.23,00:00:00:00:00:17
23,10.1.1.24,00:00:00:00:00:18
24,10.1.1.25,00:00:00:00:00:19
25,10.1.1.26,00:00:00:00:00:1a
26,10.1.1.27,00:00:00:00:00:1b
27,10.1.1.28,00:00:00:00:00:1c
28,10.1.1.29,00:00:00:00:00:1d
29,10.1.1.30,00:00:00:00:00:1e
30,10.1.1.31,00:00:00:00:00:1f
31,10.1.1.32,00:00:00:00:00:20
