STA,MAC Address
STA-A-1,00:00:00:00:00:01
STA-A-2,00:00:00:00:00:02
STA-A-3,00:00:00:00:00:03
STA-A-4,00:00:00:00:00:04
STA-A-5,00:00:00:00:00:05
STA-A-6,00:00:00:00:00:06
STA-A-7,00:00:00:00:00:07
STA-A-8,00:00:00:00:00:08
STA-A-9,00:00:00:00:00:09
STA-A-10,00:00:00:00:00:0a
STA-A-11,00:00:00:00:00:0b
STA-A-12,00:00:00:00:00:0c
STA-A-13,00:00:00:00:00:0d
STA-A-14,00:00:00:00:00:0e
STA-A-15,00:00:00:00:00:0f
STA-A-16,00:00:00:00:00:10
STA-B-1,00:00:00:00:00:11
STA-B-2,00:00:00:00:00:12
STA-B-3,00:00:00:00:00:13
STA-B-4,00:00:00:00:00:14
STA-B-5,00:00:00:00:00:15
STA-B-6,00:00:00:00:00:16
STA-B-7,00:00:00:00:00:17
STA-B-8,00:00:00:00:00:18
STA-B-9,00:00:00:00:00:19
STA-B-10,00:00:00:00:00:1a
STA-B-11,00:00:00:00:00:1b
STA-B-12,00:00:00:00:00:1c
STA-B-13,00:00:00:00:00:1d
STA-B-14,00:00:00:00:00:1e
STA-B-15,00:00:00:00:00:1f
STA-B-16,00:00:00:00:00:20
