Time_s,Throughput_AP_A_Mbps,Throughput_AP_B_Mbps
2,0,0
3,0,0
4,15.6352,15.6576
5,16.0384,15.9936
6,15.96,15.9936
7,15.96,15.9824
8,16.0608,16.0272
9,16.0048,16.016
10,15.9488,15.9488
11,16.016,16.0272
12,16.0496,16.0496
13,15.96,15.9488
14,15.9712,15.9824
15,16.0384,16.016
16,16.016,16.0272
17,15.9488,15.9488
18,16.0272,16.0272
19,16.0496,16.0384
20,15.9488,15.96
21,15.96,15.9712
22,16.0608,16.0384
23,16.0048,16.016
24,15.9488,15.9488
25,16.0384,16.0272
26,16.016,16.0496
27,15.9712,15.9488
28,15.9712,15.9488
29,16.072,16.0496
30,15.9824,16.0272
31,15.9488,15.9488
32,16.016,16.016
33,16.0496,16.0272
34,15.96,15.9824
35,15.9936,15.9936
36,16.0272,16.0384
37,16.0048,15.9936
38,15.9488,15.9488
39,16.0048,16.0384
40,16.0608,16.016
41,15.96,15.9712
42,15.9824,15.9824
43,16.0272,16.0272
44,16.016,16.016
45,15.9488,15.9488
46,16.0272,16.0272
47,16.0384,16.0496
48,15.96,15.9488
49,15.96,15.9824
50,16.0496,16.0384
51,16.016,16.0048
52,15.9488,15.9488
53,16.016,16.016
54,16.0496,16.0608
55,15.96,15.9488
56,15.9824,15.9936
57,16.0496,16.0496
58,15.9936,15.9712
59,15.9488,15.96
60,16.0384,16.0496
61,12.0288,7.952
62,16.1168,10.3824
63,19.9696,12.0064
64,20.0144,12.04
65,20.0144,11.9728
66,19.9696,11.9616
67,20.0032,12.0176
68,20.0256,12.04
69,20.0032,11.9616
70,19.9584,11.9952
71,20.0144,12.04
72,19.992,11.984
73,20.0032,11.9616
74,20.0032,12.0512
75,20.0592,12.0064
76,19.9696,11.9616
77,19.9696,12.0064
78,20.0032,12.04
79,20.048,11.9728
80,19.9472,11.9616
81,20.0144,12.04
82,20.0368,12.0176
83,19.9808,11.9616
84,19.9696,11.9952
85,19.992,12.04
86,20.0256,11.984
87,19.9808,11.9616
88,20.0032,12.0176
89,20.0256,12.04
90,20.0032,11.9616
91,19.9584,11.9952
92,20.048,12.04
93,20.0256,11.984
94,19.936,11.9616
95,20.0144,12.0624
96,20.0368,11.9728
97,19.9808,11.984
98,19.9584,11.984
99,20.0368,12.0624
100,20.0368,11.9728
101,19.936,11.9616
102,20.0032,12.0512
103,19.992,12.0064
104,20.0368,11.9616
105,19.9584,11.9952
106,20.0368,12.0624
107,20.0368,11.9616
108,19.936,11.9616
109,20.0256,11.984
110,20.0256,12.0736
111,19.9808,11.9616
112,19.9584,11.9952
113,20.0256,12.0512
114,20.0368,11.9728
115,19.9472,11.9616
116,20.0032,12.0288
117,20.0256,12.0288
118,20.0032,11.9616
119,19.9584,11.984
120,20.0368,12.0512
121,9.9456,5.9136
122,13.2384,11.592
123,16.016,16.0384
124,16.0608,16.0384
125,15.9488,15.9488
126,15.9824,15.9712
127,16.0048,16.0608
128,16.0384,15.9936
129,15.9488,15.9488
130,16.0048,16.016
131,16.0608,16.0272
132,15.96,15.9824
133,15.9936,15.9936
134,16.016,16.0384
135,16.016,15.9936
136,15.9488,15.9488
137,16.0048,16.016
138,16.072,16.0272
139,15.9488,15.9824
140,15.96,15.96
141,16.0496,16.0608
142,16.016,16.0048
143,15.9488,15.9488
144,16.0384,16.0272
145,16.0384,16.0272
146,15.9488,15.9712
147,15.9824,15.9712
148,16.0496,16.0608
149,15.9936,15.9936
150,15.9488,15.9488
151,16.0272,16.0272
152,16.0384,16.0272
153,15.96,15.9712
154,15.9824,15.9936
155,16.0608,16.0384
156,15.9824,15.9936
157,15.9488,15.9488
158,16.0272,16.0272
159,16.0496,16.016
160,15.9488,15.9824
161,15.9936,15.9712
162,16.0272,16.0272
163,16.0048,16.0272
164,15.9488,15.9488
165,16.016,16.0272
166,16.016,16.0272
167,15.9936,15.9712
168,15.9824,15.9824
169,16.0496,16.0496
170,15.9936,15.9936
171,15.9488,15.9488
172,16.016,16.0384
173,16.0496,15.9936
174,15.96,15.9936
175,15.9936,15.9936
176,16.016,16.016
177,15.9936,16.016
178,15.9712,15.9488
179,16.0384,15.9936
180,15.9936,16.072
