Time,Throughput_A,Throughput_B
1,0,0
2,13.5734,15.7038
3,13.6262,15.7441
4,13.6461,15.7525
5,13.6526,15.7594
6,13.6513,15.765
7,13.6561,15.7663
8,13.659,15.7689
9,13.662,15.7707
10,13.665,15.7725
11,13.6629,15.7737
12,13.6637,15.7733
13,13.6665,15.7751
14,13.6669,15.7749
15,13.6682,15.7752
16,13.8749,16.2413
17,14.0592,16.6554
18,17.0953,11.8992
19,16.9274,12.0806
20,16.777,12.2458
21,16.6424,12.3939
22,16.5193,12.5257
23,16.4071,12.6479
24,16.3053,12.7574
25,16.214,12.8601
26,16.127,12.954
27,16.0477,13.0399
28,15.9751,13.1201
29,15.9074,13.1943
30,15.8436,13.2638
31,15.8933,13.3286
32,15.9389,13.3882
33,12.1926,16.8893
34,12.2326,16.8554
35,12.2705,16.8235
36,12.307,16.7925
37,12.3391,16.7638
38,12.3722,16.7368
39,12.4023,16.7114
40,12.432,16.6876
41,12.4586,16.6648
42,12.485,16.6437
43,12.5087,16.6231
44,12.5328,16.603
45,12.5561,16.5844
46,12.5774,16.5666
47,12.5984,16.5498
48,12.618,16.5338
49,12.6368,16.5183
