Time(s),AP0_UEs,AP1_UEs
1,16,16
2,16,16
3,16,16
4,16,16
5,16,16
6,16,16
7,16,16
8,16,16
9,16,16
10,16,16
11,16,16
12,16,16
13,16,16
14,16,16
15,16,16
16,16,16
17,16,16
18,16,16
19,16,16
20,20,12
21,20,12
22,20,12
23,20,12
24,20,12
25,20,12
26,20,12
27,20,12
28,20,12
29,20,12
30,20,12
31,20,12
32,20,12
33,20,12
34,20,12
35,20,12
36,20,12
37,20,12
38,20,12
39,20,12
40,16,16
41,16,16
42,16,16
43,16,16
44,16,16
45,16,16
46,16,16
47,16,16
48,16,16
49,16,16
50,16,16
51,16,16
52,16,16
53,16,16
54,16,16
55,16,16
56,16,16
57,16,16
58,16,16
59,16,16
