Time,Throughput_EnbA,Throughput_EnbB
1,0,0
1.1,10.8856,12.6583
1.2,11.558,12.9503
1.3,11.7137,13.0045
1.4,11.7706,13.033
1.5,11.721,13.0353
1.6,11.7686,13.0553
1.7,11.8012,13.0538
1.8,11.8085,13.1044
1.9,11.8083,13.0789
2,11.8179,13.0667
2.1,11.8562,13.0878
2.2,11.859,13.0849
2.3,11.8695,13.0884
2.4,11.8637,13.085
2.5,11.8748,13.0937
2.6,11.8686,13.1011
2.7,11.8711,13.0922
2.8,11.8696,13.0942
2.9,11.8768,13.097
3,11.8779,13.0943
3.1,11.8872,13.0995
3.2,11.8918,13.0895
3.3,11.8915,13.0985
3.4,11.8864,13.0925
3.5,11.8949,13.0936
3.6,11.8904,13.0992
3.7,11.8861,13.1
3.8,11.8967,13.095
3.9,11.8943,13.0932
4,11.8992,13.1
4.1,11.8983,13.1006
4.2,11.8942,13.0961
4.3,11.8975,13.1004
4.4,11.9007,13.101
4.5,11.8991,13.1018
4.6,11.8964,13.0978
4.7,11.8966,13.0963
4.8,11.9013,13.1014
4.9,11.9031,13.1004
5,11.9033,13.0968
5.1,11.9026,13.1038
5.2,11.9036,13.1023
5.3,11.9065,13.1028
5.4,11.9088,13.0995
5.5,11.909,13.1037
5.6,11.9039,13.1012
5.7,11.9072,13.1016
5.8,11.9071,13.1056
5.9,11.9086,13.1009
6,11.9083,13.1015
6.1,11.9055,13.1035
6.2,11.9094,13.1027
6.3,11.9084,13.1016
6.4,11.9077,13.1021
6.5,11.9094,13.1055
6.6,11.908,13.1014
6.7,11.9088,13.1004
6.8,11.9109,13.1036
6.9,11.9072,13.103
7,11.9102,13.1019
7.1,11.9104,13.1024
7.2,11.9119,13.1014
7.3,11.9117,13.1057
7.4,11.9101,13.1034
7.5,11.9127,13.1024
7.6,11.9149,13.1045
7.7,11.9123,13.1036
7.8,11.9117,13.105
7.9,11.911,13.101
8,11.9115,13.1045
8.1,11.914,13.1036
8.2,11.9129,13.1027
8.3,11.9121,13.1045
8.4,11.9117,13.1048
8.5,11.915,13.1061
8.6,11.9159,13.1031
8.7,11.9176,13.1023
8.8,11.9125,13.1048
8.9,11.9153,13.1042
9,11.9133,13.1045
9.1,11.9129,13.1058
9.2,11.9137,13.104
9.3,11.9127,13.1053
9.4,11.9142,13.1035
9.5,11.9156,13.1048
9.6,11.915,13.1033
9.7,11.9151,13.1046
9.8,11.9141,13.1076
9.9,11.9162,13.105
10,11.915,13.1043
10.1,11.913,13.1055
10.2,11.9165,13.1049
10.3,11.9171,13.1052
10.4,11.9153,13.1045
10.5,11.9175,13.1048
10.6,11.9151,13.1059
10.7,11.9163,13.1043
10.8,11.9172,13.1054
10.9,11.9155,13.105
11,11.9151,13.1052
11.1,11.9145,13.1062
11.2,11.9162,13.1064
11.3,11.9177,13.1058
11.4,11.9182,13.1052
11.5,11.9167,13.1071
11.6,11.9165,13.1057
11.7,11.9164,13.1059
11.8,11.9162,13.1054
11.9,11.9167,13.1055
12,11.9151,13.1058
12.1,11.917,13.1059
12.2,11.918,13.1047
12.3,11.9168,13.1057
12.4,11.9168,13.1059
12.5,11.9176,13.1053
12.6,11.9184,13.1055
12.7,11.9181,13.1057
12.8,11.9166,13.1058
12.9,11.9186,13.1055
13,11.9184,13.107
13.1,11.9171,13.1065
13.2,11.9186,13.106
13.3,11.9168,13.1055
13.4,11.9176,13.1056
13.5,11.9184,13.1059
13.6,11.9184,13.1048
13.7,11.9167,13.1056
13.8,11.917,13.1071
13.9,11.9184,13.1053
14,11.9191,13.1061
14.1,11.9178,13.1055
14.2,11.9179,13.1071
14.3,11.9177,13.1048
14.4,11.9182,13.1049
14.5,11.9187,13.107
14.6,11.9185,13.1065
14.7,11.9178,13.1054
14.8,11.9181,13.1061
14.9,11.9201,13.1058
15,11.9197,13.1065
15.1,11.9191,13.1055
15.2,11.9185,13.1057
15.3,11.9192,13.1064
15.4,11.919,13.1053
15.5,11.9171,13.106
15.6,11.9182,13.1058
15.7,11.9197,13.1065
15.8,11.9187,13.1066
15.9,11.9199,13.1051
16,11.9189,13.1063
16.1,11.9192,13.1059
16.2,11.9191,13.1067
16.3,11.9197,13.1057
16.4,11.9188,13.1059
16.5,11.9179,13.1065
16.6,11.9191,13.1056
16.7,11.9202,13.1063
16.8,11.9186,13.1064
16.9,11.9192,13.1061
17,11.9196,13.1067
17.1,11.92,13.1063
17.2,11.9199,13.106
17.3,11.9202,13.1061
17.4,11.9186,13.1057
17.5,11.9188,13.1063
17.6,11.92,13.1055
17.7,11.9202,13.1067
17.8,11.9197,13.1078
17.9,11.9202,13.1064
18,11.9203,13.106
18.1,11.9205,13.1061
18.2,11.92,13.1068
18.3,11.9194,13.106
18.4,11.9201,13.1066
18.5,11.9193,13.1067
18.6,11.9205,13.1068
18.7,11.9191,13.106
18.8,11.9194,13.1065
18.9,11.9201,13.1063
19,11.9206,13.1069
19.1,11.9203,13.1056
19.2,11.9195,13.1062
19.3,11.9197,13.1063
19.4,11.9205,13.1064
19.5,11.9192,13.1066
19.6,11.9197,13.1062
19.7,11.92,13.1068
19.8,11.9199,13.1064
19.9,11.9207,13.107
20,11.921,13.1062
20.1,11.9201,13.1063
20.2,11.9202,13.1069
20.3,11.9204,13.107
20.4,11.9214,13.1067
20.5,11.9209,13.1064
20.6,11.9201,13.1065
20.7,11.9202,13.1074
20.8,11.9204,13.1068
20.9,11.9203,13.1065
21,11.9198,13.1074
21.1,11.9209,13.107
21.2,11.9206,13.1071
21.3,11.9212,13.1064
21.4,11.9199,13.1073
21.5,11.9202,13.1071
21.6,11.9205,13.1068
21.7,11.9204,13.1077
21.8,11.9206,13.107
21.9,11.9199,13.1067
22,11.9204,13.1072
22.1,11.9212,13.1065
22.2,11.9212,13.1066
22.3,11.9217,13.1067
22.4,11.9211,13.1072
22.5,11.921,13.1077
22.6,11.9209,13.1066
22.7,11.9212,13.1071
22.8,11.9197,13.1069
22.9,11.9205,13.107
23,11.9203,13.1059
23.1,11.9215,13.106
23.2,11.9215,13.1069
23.3,11.9215,13.1069
23.4,11.9209,13.1066
23.5,11.9214,13.1067
23.6,11.9208,13.1065
23.7,11.9207,13.107
23.8,11.9207,13.1067
23.9,11.9207,13.1064
24,11.9206,13.1065
24.1,11.9216,13.1062
24.2,11.9209,13.1067
24.3,11.9211,13.1065
24.4,11.9214,13.1069
24.5,11.9212,13.1063
24.6,11.9209,13.1057
24.7,11.9203,13.1065
24.8,11.9218,13.1065
24.9,11.921,13.1063
25,11.9218,13.1064
25.1,11.9209,13.1069
25.2,11.9212,13.1066
25.3,11.9215,13.1067
25.4,11.922,13.1068
25.5,11.9207,13.1065
25.6,11.9214,13.1066
25.7,11.9212,13.1064
25.8,11.9213,13.1068
25.9,11.9213,13.1065
26,11.9213,13.1066
26.1,11.9211,13.106
26.2,11.9212,13.1068
26.3,11.9213,13.1066
26.4,11.9216,13.107
26.5,11.9213,13.1071
26.6,11.9213,13.1062
26.7,11.9218,13.1066
26.8,11.9221,13.106
26.9,11.921,13.1067
27,11.9219,13.1062
27.1,11.9218,13.1066
27.2,11.9213,13.1073
27.3,11.9208,13.1065
27.4,11.9212,13.1062
27.5,11.9222,13.1066
27.6,11.9218,13.1064
27.7,11.9213,13.1062
27.8,11.9217,13.1063
27.9,11.921,13.107
28,11.9216,13.107
28.1,11.9221,13.1062
28.2,11.9215,13.1068
28.3,11.9211,13.1067
28.4,11.9214,13.1071
28.5,11.9219,13.1065
28.6,11.9217,13.1066
28.7,11.9217,13.1067
28.8,11.9218,13.1067
28.9,11.9219,13.1072
29,11.9214,13.1066
29.1,11.9217,13.107
29.2,11.9211,13.1068
29.3,11.9217,13.1068
29.4,11.9216,13.1066
29.5,11.9224,13.1067
29.6,11.9224,13.1065
29.7,11.9225,13.1072
29.8,11.9222,13.1072
29.9,11.9226,13.1067
30,11.9221,13.1068
30.1,11.9213,13.1073
30.2,11.9222,13.1066
30.3,11.9216,13.1065
30.4,11.9214,13.1071
30.5,11.9215,13.1075
30.6,11.9218,13.1067
30.7,11.922,13.1068
30.8,11.9227,13.1068
30.9,11.9219,13.1072
31,11.9218,13.1064
31.1,11.9209,13.1071
31.2,11.9219,13.1071
31.3,11.9221,13.1069
31.4,11.9218,13.1067
31.5,11.9219,13.107
31.6,11.9222,13.1069
31.7,11.9223,13.1064
31.8,11.922,13.1065
31.9,11.922,13.1074
32,11.9218,13.1071
32.1,11.9222,13.1067
32.2,11.9222,13.1067
32.3,11.9224,13.1068
32.4,11.922,13.1069
32.5,11.9221,13.1064
