Time,AP1_Bytes,AP2_Bytes
1,0,0
2,534336,148672
3,1264448,446016
4,1726656,943552
5,2228608,1470528
6,2581888,2381696
7,2944000,3135360
8,3357632,3699136
9,3890496,4201088
10,4410112,5097536
11,4857600,5823232
12,5315392,6236864
13,5686336,6840384
14,5943936,7470400
15,6447360,8151936
16,6968448,8656832
17,7538112,8971840
18,7992960,9517952
19,8502272,10152384
20,9039552,10851584
21,9436992,11337344
22,9975744,11986496
23,10492416,12681280
24,10686720,13464384
25,11082688,14304896
26,11655296,15196928
27,12170496,16119872
28,12721024,17159104
29,13371648,17716992
30,13724928,18731200
31,14148864,19576128
32,14513920,20556480
33,15127744,21298368
34,15508992,21904832
35,15844608,22536320
36,16228800,22895488
37,16570304,23347392
38,17114944,23730112
39,17881856,24108416
40,18383808,24486720
41,18775360,24769344
42,19364160,25146176
43,19757184,25969024
44,20231168,26741824
45,20774336,27418944
46,21180608,28121088
47,21644288,28789376
48,22286080,29300160
49,22913152,29925760
50,23624128,30461568
51,24246784,30981184
52,24862080,31565568
53,25271296,32230912
54,25889536,32921280
55,26687360,33259840
56,27544064,33892800
57,27976832,34761280
58,28269760,35564992
59,28852672,36339264
